Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 29 Mar 2022 08:25:44 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations,
2017-0477-MYS,2017,0477,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Penang, Kedah, Perak",Heavy rain,,,,,,,37944,2017,11,3,2017,11,8,7,,3500,,3500,,,,,,,90.46017931,"Kedah, Perak, Pulau Pinang (Adm1).",
2017-0497-PHL,2017,0497,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Bacolod, Sipalay, Bago, Talisay, La Carlota, Hinobaan, Binalbagan, Pontevedra (Negros Occidental province-Western Visayas Region)",Heavy rains,,,,,,,10300,2017,9,22,2017,9,24,,,8000,,8000,,,,,,,90.46017931,Negros Occidental (Adm2).,
2017-0226-PHL,2017,0226,FL-2017-000010,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Mindanao (Agusan del Sur, Compostela Valley, Agusan del Norte, Davao Oriental, Lanao del Sur and Maguindanao)",Heavy rains,,,,,,,30389,2017,2,1,2017,2,7,13,,334000,,334000,,,,,,,90.46017931,"Agusan Del Norte, Agusan Del Sur, Compostela, Davao Oriental, Lanao Del Sur, Maguindanao (Adm2).",
2018-0425-IDN,2018,0425,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Muara Saladi village in Mandailing Natal Regency (North Sumatra),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2018,10,11,2018,10,12,35,,20000,,20000,,,,,,,92.6696698,Mandailingnatal (Adm2).,
2018-0471-IDN,2018,0471,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Java, Sumatra Isl",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2018,11,26,2018,12,4,13,,3000,,3000,,,,,,,92.6696698,,
2018-0121-IDN,2018,0121,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"West Sulawesi, East Kalimantan, North Suamatra",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2018,3,22,2018,3,26,3,1,12000,,12001,,,,,,,92.6696698,"Kalimantan Timur, Sulawesi Barat, Sumatera Utara (Adm1).",
2018-0472-IDN,2018,0472,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bogor (West Java); East Java, West Sumatra, Riau, Bali",,"Slide (land, mud, snow, rock)",,,,,,,2018,12,6,2018,12,10,9,,5463,,5463,,,,,,,92.6696698,"Bali, Jawa Timur, Riau, Sumatera Barat (Adm1). Bogor (Adm2).",
2018-0483-IDN,2018,0483,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Pasir Pangang (Java province),Torrential rains,"Slide (land, mud, snow, rock)",,,,,,,2018,2,21,2018,2,23,20,,100000,,100000,,,,,,,92.6696698,Pasir (Adm2).,
2018-0203-MMR,2018,0203,,Natural,Hydrological,Flood,,,,Myanmar,MMR,South-Eastern Asia,Asia,Shan state and Magway and Sagaing regions,Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,,,2018,6,5,2018,6,14,12,,,,,,,,,,,92.6696698,"Magway, Sagaing, Shan (E), Shan (N), Shan (S) (Adm1).",
2018-0222-LAO,2018,0222,FF-2018-000118,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Yai Thae, Hinlad, Mai, Thasengchan, Tha Hin Samong (Attapeu province)",Tropial storm Son Tinh,Broken Dam/Burst bank,,Yes,,,,,2018,7,23,2018,7,23,136,,13100,,13100,,,,,,,92.6696698,Attapu (Adm1).,
2018-0314-MMR,2018,0314,,Natural,Hydrological,Flood,,,,Myanmar,MMR,South-Eastern Asia,Asia,Bago region,,Broken Dam/Burst bank,,,,,,,2018,8,29,2018,8,31,7,,63400,,63400,,,,,,,92.6696698,Bago (Adm2).,
2018-0166-IDN,2018,0166,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,West Nusa Tenggara,Torrential Rain,,,,,,,3938,2018,3,5,2018,3,6,,,3000,,3000,,,,,,,92.6696698,Sulawesi Tenggara (Adm1).,
2018-0222-KHM,2018,0222,FF-2018-000118,Natural,Hydrological,Flood,,,,Cambodia,KHM,South-Eastern Asia,Asia,"Siem Pang District, Steung Treng Town, Siem Bok,Sesan, Thalaborivat; Kampong Speu, Battambang, Koh Kong, Phreah Sihanouk , Kampot provinces",,,,,,,,,2018,7,23,2018,7,23,,,5817,,5817,,,,,,,92.6696698,"Battambang, Kampong Speu, Kampot, Koh Kong, Preah Sihanouk (Adm1). Krong Stueng Traeng, Sesan, Siem Bouk, Siem Pang, Thala Barivat (Adm2).",
2018-0255-MMR,2018,0255,FL-2018-000124,Natural,Hydrological,Flood,,,,Myanmar,MMR,South-Eastern Asia,Asia,"Bago, Karen, Mon, Nay Pyi Taw, Tanintharyi, Magway, Sagaing, Ayeyarwady, Kayin",Monsoonal rain,,,,,,,46815,2018,7,15,2018,8,10,16,,109650,,109650,,,,,,,92.6696698,"Ayeyawaddy, Bago (E), Bago (W), Kayin, Magway, Sagaing, Taninthayi (Adm1).",
2018-0063-MYS,2018,0063,,Natural,Hydrological,Flood,Flash flood,,,Malaysia,MYS,South-Eastern Asia,Asia,"Samarahan, Bintulu, Serian, Mukah, Limbang, Sarikei (Sarawak State)",Heavy rains,,,,,,,74296,2018,2,3,2018,2,12,,,4900,,4900,,,,,,,92.6696698,"Bintulu, Limbang, Mukah, Samarahan, Sarikei, Serian (Adm2).",
2018-0068-MYS,2018,0068,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kuantan, Rompin, Pekan, Jerantut, Lipis, Bera districts (Pahang state), Johor, Terengganu states",Monsoonal rains,,,,,,,117492,2018,1,1,2018,1,5,2,,12000,,12000,,,,,,,92.6696698,"Johor, Sabah (Adm1). Dungun, Jerantut, Kemaman, Kuantan, Lipis, Pekan, Rompin, Seberang Perai Selatan, Timur Laut (Adm2).",
2018-0051-PHL,2018,0051,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Bicol, Dvao, Eastern Visayas, NOrthern Mindanao, Western Visayas",Heavy rains,,,,,,,,2018,1,13,2018,1,17,11,,180000,,180000,,,,,,,92.6696698,"Compostela, Leyte, Northern Samar (Adm2).",
2019-0022-IDN,2019,0022,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kebumen (Banyumas district); Mojokerto, Bojonegoro, Purworedjo, Cilacap districts (Central Java)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2019,1,17,2019,1,17,2,,2650,,2650,,,,,,,94.3490925,"Bojonegoro, Cilacap, Kebumen, Mojokerto, Purworejo (Adm2).",
2019-0107-IDN,2019,0107,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Java Isl., western Timor",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2019,3,6,2019,3,8,9,4,168393,,168397,,,,,,,94.3490925,"Banten, Daerah Istimewa Yogyakarta, Dki Jakarta, Jawa Barat, Jawa Tengah, Jawa Timur, Nusatenggara Timur (Adm1).",
2019-0168-IDN,2019,0168,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bengkulu city, Kaur, North Bengkulu, Central Bengkulu, South Bengkulu, Seluma, Kapahiang, Lebong, Rejang Lebong districts (Bengkulu Province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2019,4,25,2019,5,27,18,2,13000,,13002,,,,,15000,15898,94.3490925,"Bengkulu Selatan, Bengkulu Utara, Kaur, Kepahiang, Kota Bengkulu, Lebong, Rejanglebong, Seluma (Adm2).",
2019-0111-IDN,2019,0111,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Papua province,Heavy rains,,,,,,,,2019,3,16,2019,3,18,206,915,58625,,59540,,,,,103000,109169,94.3490925,Papua (Adm1).,
2019-0167-IDN,2019,0167,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"South Jakarta, East Jakarta",Heavy rains,,,,,,,,2019,4,25,2019,4,26,2,,2258,,2258,,,,,,,94.3490925,"Kota Jakarta Selatan, Kota Jakarta Timur (Adm2).",
2019-0210-IDN,2019,0210,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Konawe, North Konawe, Konawe Island, East Kolaka regencies (Sulawesi, Kalimantan Islands)",Heavy rains,,,,,,,,2019,6,9,2019,6,14,1,,52000,,52000,,,,,,,94.3490925,"Kolaka, Konawe Selatan (Adm2).",
2016-0573-VNM,2016,0573,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hóa, Lào Cai, Yên Bái, Bac Kan, Dien Bien, Ha Thin, Son La, Thai Nguyen",Torrential rainfall,"Slide (land, mud, snow, rock)",,,,,,,2016,8,12,2016,8,14,8,4,410,95,509,,,,,,,88.57345288,"Bac Kan, Dien Bien, Ha Tinh, Lao Cai, Son La, Thai Nguyen, Thanh Hoa, Yen Bai (Adm1).",
2016-0378-THA,2016,0378,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Nan, Phayao, Mae Hong Son, Chiang Rai provinces",Residual effects of Tropial storm Dianmu,,,,,Yes,,,2016,8,15,2016,8,16,3,,22500,,22500,,,,,,,88.57345288,"Chiang Rai, Mae Hong Son, Nan, Phayao (Adm1).",
2016-0360-THA,2016,0360,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Nakhon Sawan province, Ayutthaya (Phra Nakhon Si Ayudhya province)",Mnsoonal rain,,,,,,,17187,2016,10,6,2016,10,16,4,,204000,,204000,,,,,120000,135481,88.57345288,"Nakhon Sawan, Phra Nakhon Si Ayudhya (Adm1).",
2016-0472-THA,2016,0472,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Nakhon Si Thammarat, Krabi, Surat Thani, Songkhla, Phatthalung, Pattani, Chumphon, Trang, Yala, Narathiwat provinces",Torrential rains,,,,,Yes,,67395,2016,12,1,2016,12,10,14,,582343,,582343,,,,,25000,28225,88.57345288,"Chumphon, Krabi, Nakhon Si Thammarat, Narathiwat, Pattani, Phatthalung, Songkhla, Surat Thani, Trang (Adm1).",
2016-0400-VNM,2016,0400,TC-2016-000111,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Binh (Minh Hoa, Tuyen Hoa), Ha Tinh (Huong Khe), Nghe An, Quang Tri (Vinh Linh, Hai Lang, Trieu Phong), Thua Thien Hue provinces",Monsoonal rains,,,,,,,63642,2016,10,9,2016,10,16,35,30,659390,195,659615,,,,,104280,117733,88.57345288,"Ha Tinh, Nghe An, Quang Binh, Quang Tri, Thua Thien - Hue (Adm1).",
2016-0497-VNM,2016,0497,FL-2016-000133-VNM,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh provinces",Heavy rains,,,,,,,44341,2016,12,12,2016,12,20,27,16,559255,2850,562121,,,,,35000,39515,88.57345288,"Binh Dinh, Quang Nam, Quang Ngai, Thua Thien - Hue (Adm1).",
2016-0517-VNM,2016,0517,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Ha Tinh (Huong Khe, Huong Son, Vu Quang, Cam Xuyen, Duc Tho), Quang Binh (Bo Trach, Quang Trach (Ba Don), Tuyen Hoan, Le Thuy, Minh Hoa), Quang Tri (Vinh Linh, Hai Lang, Trieu Phong, Cam Lo); Quang Ngai, Gia Lai, Dak Lak, Binh Dinh, Phu Yen, Khanh Hoa, Ninh Thuan",,,,,,,,,2016,10,30,2016,11,5,21,,205205,1135,206340,,,,,22000,24838,88.57345288,"Bo Trach, Cam Lo, Cam Xuyen, Duc Tho, Hai Lang, Huong Khe, Huong Son, Le Thuy, Minh Hoa, Quang Trach, Trieu Phong, Tuyen Hoa, Vinh Linh, Vu Quang (Adm2).",
2017-0316-THA,2017,0316,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Sakon Nakhon, Nakhon Sawan, Lop Buri, Chai Nat, Chanthaburi, Phichit, Phetchabun, Phrae (Den Chai, Song), Uttaradit, Chumphon, Kamphaeng Phet, Nan, Chiang Rai, Chiang Mai, Phayao, Ang Thong, Ranong, Lampang, Nan Yasothan (Pa Tiu), Ayutthaya, Trat, Ubon Ratchathani (Si Muang Mai, Kong Chiam, Nam Yuen), Kalasin, Nakhon Phanom, Chai Nat (Manorom, Han Ka, and Nern Kham)",Monsoonal rains,"Slide (land, mud, snow, rock)",,,,,,,2017,7,5,2017,8,2,23,,1000000,,1000000,,,31000,34269,307000,339376,90.46017931,"Ang Thong, Chainat, Chanthaburi, Chiang Mai, Chiang Rai, Chumphon, Kalasin, Kampaeng Phet, Lampang, Lopburi, Nakhon Phanom, Nakhon Sawan, Nan, Phayao, Phetchabun, Phichit, Phra Nakhon Si Ayudhya, Phrae, Ranong, Sakon Nakhon, Trad, Ubon Ratchathani, Uttaradit, Yasothon (Adm1).",
2017-0337-VNM,2017,0337,,Natural,Hydrological,Flood,Flash flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Yen Bai (Mu Cang Chai district), Son La (Muong La), Bac Kan, Lai Chau (Nam-Ho Dien Bien district), Dien Bien",,"Slide (land, mud, snow, rock)",,,,,,,2017,8,3,2017,8,3,39,21,3000,1140,4161,,,,,88000,97280,90.46017931,"Bac Kan, Dien Bien, Lai Chau, Son La, Yen Bai (Adm1).",
2017-0259-VNM,2017,0259,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Ha Giang, Lao Cai, Dien Bien, Yen Bai (Mu Cang Chai district), Tuyen Quang, Thai Nguyen, Lai Chau, Bac Kan, Cao Bang (Hoa An district), Binh Thuan, An Giang, Cà Mau (Nam Can, Ngoc Hien and Dam Doi districts) Provinces",,"Slide (land, mud, snow, rock)",,,,,,,2017,6,27,2017,7,5,1,4,4100,,4104,,,,,355,392,90.46017931,"An Giang, Bac Kan, Binh Thuan, Ca Mau, Cao Bang, Dien Bien, Ha Giang, Lai Chau, Lao Cai, Thai Nguyen, Tuyen Quang, Yen Bai (Adm1).",
2017-0270-VNM,2017,0270,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thai Nguyen, Ha Giang, Dien Bien, Hoa Binh, Cao Bang",Heavy rainfall,"Slide (land, mud, snow, rock)",,,,,,,2017,7,7,2017,7,10,14,,400,,400,,,,,1300,1437,90.46017931,"Cao Bang, Dien Bien, Ha Giang, Hoa Binh, Thai Nguyen (Adm1).",
2017-0428-VNM,2017,0428,FF-2017-000152,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hoa, Nghe An, Ha Tinh, Hoa Binh, Yen Bai (V?n Tr?n, Tr?m T?u districts, Ngh?a L? Town), Son La, Quang Tri, Ha Noi (Nam Hai, Chong My), Phu Tho, Ha Nam",Tropical Depression 23W,"Slide (land, mud, snow, rock)",,,,,,,2017,10,8,2017,10,16,75,38,40000,,40038,,,,,88000,97280,90.46017931,"Ha Nam, Ha Noi City, Ha Tinh, Hoa Binh, Nghe An, Phu Tho, Quang Tri, Son La, Thanh Hoa, Yen Bai (Adm1).",
2017-0465-THA,2017,0465,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Central plains provinces- Bangkok, Chai Nat, Pathum Thani, Lop Buri, Kamphaeng Phet, Sing Buri, Ang Thong, Ayutthaya, Nakhon Sawan, Tak, and Pichit, Khon Kaen, Sukhothai, Uthai Thani, Suphan Buri, Nong Bua Lam Phu, Maha Sarakham, Kalasin, Roi Et, Ubon Ratchathani provinces",,Broken Dam/Burst bank,,,,,,101670,2017,10,10,2017,11,8,9,,605000,,605000,,,,,1400,1548,90.46017931,"Ang Thong, Bangkok, Chainat, Kalasin, Kampaeng Phet, Khon Kaen, Lopburi, Maha Sarakham, Nakhon Sawan, Nong Bua Lamphu, Pathum Thani, Phichit, Phra Nakhon Si Ayudhya, Roi Et, Singburi, Sukhothai, Suphanburi, Tak, Ubon Ratchathani, Uthai Thani (Adm1).",
2017-0006-THA,2017,0006,FL-2017-000004,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Pattani, Yala, Narathiwat, Songkhla, Phattalung, Trang, Nakhon Si Thammarat, Krabi, Surat Thani, Chumphon, Prachaub Khirikhan, Ranong provinces",Heavy rains,,,Yes,,,,50020,2017,1,1,2017,1,31,96,,1800000,,1800000,,,,,1000000,1105459,90.46017931,"Chumphon, Krabi, Nakhon Si Thammarat, Narathiwat, Pattani, Phatthalung, Prachuap Khilikhan, Ranong, Songkhla, Surat Thani, Trang, Yala (Adm1).",
2017-0516-THA,2017,0516,,Natural,Hydrological,Flood,Riverine flood,,,Thailand,THA,South-Eastern Asia,Asia,"Nakhon Si Thammarat, Narathiwat, Pattani, Phatthalung, Satun, Songkhla, Surat Thani, Trang, Yala provinces",Heavy rains,,,,,,,,2017,11,25,2017,12,3,22,,385498,,385498,,,,,,,90.46017931,"Nakhon Si Thammarat, Narathiwat, Pattani, Phatthalung, Satun, Songkhla, Surat Thani, Trang, Yala (Adm1).",
2017-0492-VNM,2017,0492,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Tri, Thua Thien-Hue, Da Nang, Quang Nam, Quang Ngai, Binh Dinh",Tropical depression,,,,,,,27646,2017,11,19,2017,11,24,8,,41500,,41500,,,,,,,90.46017931,"Binh Dinh, Da Nang City, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1).",
2018-0204-VNM,2018,0204,,Natural,Hydrological,Flood,Flash flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,Lai Chau,,"Slide (land, mud, snow, rock)",,,,,,,2018,6,23,2018,6,27,33,18,16710,,16728,,,,,23000,24819,92.6696698,Lai Chau (Adm1).,
2018-0369-VNM,2018,0369,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,Northern provinces,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2018,8,29,2018,9,5,20,,6000,,6000,,,,,,,92.6696698,,
2018-0448-VNM,2018,0448,,Natural,Hydrological,Flood,Flash flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hoa, Binh Dinh, Nghe An, Quang Tri, Quang Ngai, Quang Nam, Da Nang",Heavy rains,,,,,,,,2018,12,8,2018,12,10,14,,105000,,105000,,,,,25000,26978,92.6696698,"Binh Dinh, Da Nang City, Nghe An, Quang Nam, Quang Ngai, Quang Tri, Thanh Hoa (Adm1).",
2019-0632-IDN,2019,0632,FL-2019-000182,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Labuhanbatu Utara districts (North Sumatra); Saling,Talang Datuk, Talang Tinggi and Lunjuk sub-districts (Bengkulu province); Jakarta, Bekasi, Bogor, Depok in West Java district; Banten Province",,"Slide (land, mud, snow, rock)",,,,,,24987,2019,12,31,2020,1,3,66,110,501000,,501110,,,,,1200000,1271872,94.3490925,"Banten, Bengkulu, Dki Jakarta (Adm1). Bekasi, Bogor, Kota Bekasi, Kota Bogor, Kota Depok, Labuhanbatu (Adm2).",
2019-0657-IDN,2019,0657,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Rokan Hulu, Kampar, Pelalawan, Kuantan Singingi, Indragiri Hulu and Rokan Hilir districts (Riau province)",,"Slide (land, mud, snow, rock)",,,,Yes,,,2019,12,19,2019,12,21,6,,60000,,60000,,,,,,,94.3490925,"Indragiri Hilir, Indragiri Hulu, Kampar, Kuantan Singingi, Pelalawan, Rokanhulu (Adm2).",
2019-0385-MMR,2019,0385,,Natural,Hydrological,Flood,,,,Myanmar,MMR,South-Eastern Asia,Asia,Paung Township (Mon State),Monsoon rain,"Slide (land, mud, snow, rock)",,,,,,,2019,8,8,2019,8,16,115,,,1875,1875,,,,,,,94.3490925,Thaton (Adm2).,
2019-0620-IDN,2019,0620,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"South Solok Regency (west Sumatra), Sigi Regency (central Sulawesi)",,,,,,,,,2019,12,12,2019,12,17,14,,5000,,5000,,,,,,,94.3490925,"Donggala, Solok Selatan (Adm2).",
2019-0281-IDN,2019,0281,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"South East Sulawesi, South Sulawesi,Central Sulawesi, East Kalimantan",Heavy rain,,,,,Yes,,,2019,6,3,2019,6,9,2,,55495,,55495,,,,,,,94.3490925,"Kalimantan Timur, Sulawesi Selatan, Sulawesi Tengah, Sulawesi Tenggara (Adm1).",
2019-0523-IDN,2019,0523,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"North Sumatra, and Aceh provinces (Sumatra Island)",,,,,,,,,2019,10,26,2019,10,27,,,9435,,9435,,,,,,,94.3490925,"Nangroe Aceh Darussalam, Sumatera Utara (Adm1).",
2019-0419-KHM,2019,0419,,Natural,Hydrological,Flood,,,,Cambodia,KHM,South-Eastern Asia,Asia,"Stung Treng, Kratie, Kampong Cham and Tbong Khmum",Tropical Storm PODUL and Tropical Depression KAJIKI's,,,,,,,,2019,9,11,2019,9,20,12,,435000,,435000,,,,,,,94.3490925,"Kampong Cham, Kratie, Stung Treng (Adm1).",
2019-0419-LAO,2019,0419,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Attapeu, Champasak, Khammouan, Salavan, Savannakhet, Sekong provinces",Tropical Storm Podul and Tropical Depression Kajiki,,,Yes,,,,,2019,8,29,2019,9,3,19,,507500,,507500,,,,,,,94.3490925,"Attapu, Champasak, Khammouan, Salavan, Savannakhet, Xekong (Adm1).",
2019-0347-MMR,2019,0347,,Natural,Hydrological,Flood,,,,Myanmar,MMR,South-Eastern Asia,Asia,"Kachin, Mon States",Heavy rains,,,,,,,,2019,7,14,2019,7,14,,,6200,,6200,,,,,,,94.3490925,"Kachin, Mon (Adm1).",
2019-0226-MYS,2019,0226,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Belaga district (Kapit division, Northern and central Sarawak State)",Heavy rains,,,,,,,,2019,6,2,2019,6,6,,,1000,,1000,,,,,,,94.3490925,Belaga (Adm2).,
2019-0523-MYS,2019,0523,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,Peninsular malaysia,,,,,,,,,2019,10,26,2019,10,27,,,2412,,2412,,,,,,,94.3490925,"Johor, Kedah, Kelantan, Kuala Lumpur, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Selangor, Terengganu (Adm1).",
2019-0578-MYS,2019,0578,FL-2019-000162,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Johor state; Kota Bharu, Pasir Mas, Tumpat, Bachok, Tanah Merah, Pasir Puteh, Kuala Krai, Machang, Jeli districts (Kelantan state); Pahang state; Marang, Dungun, Kemaman, Hulu Terengganu, Setiu, Besut, Kuala Nerus districts (Terengganu state)",Heavy rains,,,,,,,38171,2019,11,30,2019,12,6,2,,15000,,15000,,,,,,,94.3490925,"Johor, Kuala Lumpur, Pahang (Adm1). Bachok, Besut, Dungun, Hulu Terengganu, Jeli, Kemaman, Kota Bharu, Kuala Krai, Kuala Terengganu, Machang, Marang, Pasir Mas, Pasir Puteh, Setiu, Tanah Merah, Tumpat (Adm2).",
2019-0631-MYS,2019,0631,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Terengganu, Kelantan",Heavy rains,,,,,,,,2019,12,18,2019,12,19,,,4065,,4065,,,,,,,94.3490925,"Kelantan, Terengganu (Adm1).",
2020-0134-IDN,2020,0134,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Tana Toraja Regency (South Sulawesi Province); East Kalimantan; West Sumatra,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2020,4,4,2020,4,5,4,,100,,100,,,,,,,95.51296742,"Kalimantan Timur, Sumatera Barat (Adm1). Tanatoraja (Adm2).",
2020-0250-IDN,2020,0250,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bantaeng, Jeneponto Districts (South Sulawesi Province); Sawawa, Sawawa Tengah, South Sawawa, and Botu Pingge (Bone Bolango Regency, northern Sulawesi province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2020,6,11,2020,6,15,7,3,12000,,12003,,,,,2100,2199,95.51296742,"Bantaeng, Bonebolango, Jeneponto (Adm2).",
2020-0544-IDN,2020,0544,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Java Island,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2020,12,6,2020,12,8,2,2,1850,,1852,,,,,,,95.51296742,"Jawa Barat, Jawa Tengah, Jawa Timur (Adm1).",
2020-0059-IDN,2020,0059,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lima Puluh Kota Regency (West Sumatra Province), West Bandung Regency (West Java) ; Pasaman and Solok Regencies",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2020,2,13,2020,2,26,6,,115000,,115000,,,,,10000,10470,95.51296742,"Bandung, Kota Bandung, Kota Pasaman, Kota Solok, Limapuluhkoto (Adm2).",
2020-0161-IDN,2020,0161,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"West Java, Central Kalimantan, northern Sumatra Islands, Banten, Bengkulu, and East Kalimantan Provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2020,4,20,2020,4,28,,,2000,,2000,,,,,,,95.51296742,"Banten, Bengkulu, Jawa Barat, Kalimantan Tengah, Kalimantan Timur, Sumatera Utara (Adm1).",
