Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 29 Mar 2022 08:25:44 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations,
2002-0291-IDN,2002,0291,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Kolaka district (Sulawesi Tenggara province),,,,,,,,2,2002,5,,2002,5,,,,1000,,1000,,,,,,,66.3819637,Kolaka (Adm2).,
2002-0732-IDN,2002,0732,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Aceh Barat, Aceh Barat Daya, Aceh Selatan, Naganraya, Aceh Singkil districts (Nangroe Aceh Darussalam province), Dairi, Nias, Nias Selatan, Tapanuli Tengah districts (Sumatera Utara province)",Heavy rains,,,Yes,,,5565,17000,2002,11,19,2002,12,3,13,,87000,,87000,,,,,1600,2410,66.3819637,"Aceh Barat, Aceh Barat Daya, Aceh Selatan, Aceh Singkil, Dairi, Naganraya, Nias, Nias Selatan, Tapanuli Tengah (Adm2).",
2002-0522-KHM,2002,0522,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kandal, Stung Treng, Prey Veng, Takeo, Kampong Chhnang, Banteay Meanchey, Svay Rieng, Kampong Speu, Kratie, Pursat, Kampot provinces",Monsoonal rain,,,,,,30,,2002,8,18,2002,11,26,29,,1470000,,1470000,,,,,100,151,66.3819637,"Banteay Meanchey, Kampong Chhnang, Kampong Speu, Kampot, Kandal, Kratie, Prey Veng, Pursat, Stung Treng, Svay Rieng, Takeo (Adm1).",
2002-0614-LAO,2002,0614,,Natural,Hydrological,Flood,Riverine flood,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Bolikhamxai, Savannakhet, Vientiane, Vientiane capital, Khammouan, Oudomxai, Louangphabang provinces",Monsoon rains,,,Yes,,,,,2002,8,,2002,8,,2,,150000,,150000,,,,,,,66.3819637,"Bolikhamxai, Khammouan, Louangphabang, Oudomxai, Savannakhet, Vientiane, Vientiane capital (Adm1).",
2002-0536-MMR,2002,0536,,Natural,Hydrological,Flood,Riverine flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Hlaingbwe, Hpa-an areas (Hpa-an district, Kyain province), Kyondo, Kya-in-Seikkyi areas (Kawkareik district, Kayin province), Kyaikmayaw, Mawlamyine areas (Mawlamyine districts, Min province), Paung area (Thaton district, Mon province), Thongwa area (Yangon(S) district, Yangon province), Singu area (Pyin-Oo-Lwin district, Mandalay province), Myawady district (Kayin province), Myitkyina, Putao districts (Kachin province), Kengtung district (Shan (E) province)",,,,,,,,,2002,8,,2002,8,,21,,50000,,50000,,,,,,,66.3819637,"Hpa-an, Kawkareik, Kengtung, Mawlamyine, Myawady, Myitkyina, Putao, Pyin-Oo-Lwin, Thaton, Yangon(S) (Adm2).",
2003-0016-IDN,2003,0016,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Pandeglang district (Banten province), Polewalimamasa district (Sulawesi Barat province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,2003,1,,2003,1,,3,,10000,,10000,,,,,,,67.88889569,"Pandeglang, Polewalimamasa (Adm2).",
2003-0074-IDN,2003,0074,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Cilacap district (Jawa Tengah province),,,,,,,,,2003,1,28,2003,1,28,1,,15000,,15000,,,,,,,67.88889569,Cilacap (Adm2).,
2003-0021-IDN,2003,0021,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Batulayrar village (Lombok Barat district, Nusatenggara Barat province)",,,,,,,,,2003,1,8,2003,1,8,,,230,,230,,,,,,,67.88889569,Lombok Barat (Adm2).,
2003-0067-IDN,2003,0067,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kapai Tabu Karambia, Sinipa Piliang, Sembilan Korong, Aro Empat Korong, Pasar Pandan Air Mati, Kel Koto Panjang villages (Solok district, Sumatera Barat province)",,,,,,,,,2003,1,10,2003,1,10,10,,3700,,3700,,,,,,,67.88889569,Solok (Adm2).,
2001-0176-THA,2001,0176,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,"Phrae, Sukhothai, Lampang provinces",Brief torrential rain,"Slide (land, mud, snow, rock)",,,,,,19750,2001,5,4,2001,5,5,83,30,,4100,4130,,,,,4000,6121,65.34555871,"Lampang, Phrae, Sukhothai (Adm1).",
2001-0600-MYS,2001,0600,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Inanam borough (Kota Kinabalu district, Sabah province), Beaufort, Papar, Penampang, Tuaran districts (Sabah province)",,,,,,,,,2001,10,,2001,10,,,,5000,,5000,,,,,,,65.34555871,"Beaufort, Kota Kinabalu, Papar, Penampang, Tuaran (Adm2).",
2001-0649-MYS,2001,0649,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,Kuala Lumpur province,,,,,,,,,2001,10,30,2001,10,30,,,200,,200,,,,,,,65.34555871,Kuala Lumpur (Adm1).,
